campaign_id,date,channel,campaign_name,country,segment,impressions,clicks,conversions,spend,revenue
CAMP-04711,2026-03-29,display,Profit-focused interactive customer loyalty Display FR,France,returning,45919,83,3,876.64,351.56
CAMP-00692,2025-09-21,search,Networked directional system engine Search GE,Germany,returning,175727,13976,302,573.85,37132.31
CAMP-00066,2024-09-30,email,Quality-focused hybrid support Email NE,Netherlands,vip,10041,1949,58,1917.08,7995.42
CAMP-03427,2025-12-31,display,Fundamental analyzing budgetary management Display GE,Germany,new,151404,339,12,2205.45,1324.24
CAMP-04821,2024-08-04,social,Intuitive responsive challenge Social GE,Germany,returning,8577,440,19,1073.82,2178.28
CAMP-00394,2024-07-01,social,Versatile bifurcated pricing structure Social IT,Italy,vip,50210,1729,51,551.15,4178.31
CAMP-01425,2024-07-01,search,Integrated 6thgeneration superstructure Search FR,France,new,49452,2559,100,379.07,10209.58
CAMP-00643,2024-08-19,search,Operative dedicated paradigm Search FR,France,returning,7624,636,7,1729.91,579.24
CAMP-02836,2025-03-29,email,Extended solution-oriented interface Email NE,Netherlands,returning,8808,1927,60,1991.72,7358.53
CAMP-01739,2025-09-06,search,Phased dedicated task-force Search SP,Spain,returning,26872,2353,84,2369.57,9125.77
CAMP-02946,2025-02-24,social,Devolved asymmetric paradigm Social GE,Germany,new,3919,241,9,680.58,1054.82
CAMP-02068,2024-06-08,email,Up-sized real-time circuit Email GE,Germany,new,2780,625,19,1285.87,2613.82
CAMP-03348,2026-04-27,email,Cross-group cohesive algorithm Email NE,Netherlands,returning,43887,9390,148,849.02,19336.07
CAMP-00531,2025-07-08,email,Polarized homogeneous orchestration Email SP,Spain,new,16805,3863,76,,9301.99
CAMP-04302,2025-01-07,email,Proactive encompassing application Email GE,Germany,new,10192,2197,60,865.26,5236.84
CAMP-00829,2026-01-04,social,Object-based upward-trending migration Social GE,Germany,vip,17136,724,25,2613.34,2336.04
CAMP-01205,2024-10-16,search,Down-sized mission-critical matrix Search NE,Netherlands,returning,32517,3062,88,3516.94,10197.47
CAMP-00180,2025-04-28,social,Reactive bifurcated frame Social IT,Italy,returning,3928,97,3,619.92,344.13
CAMP-02766,2024-11-19,email,Object-based next generation portal Email FR,France,returning,27113,8297,283,1055.27,33737.41
CAMP-01778,2024-12-26,social,Visionary coherent migration Social IT,Italy,returning,19216,962,37,1226.57,4773.79
CAMP-04928,2025-08-18,email,Ergonomic transitional instruction set Email NE,Netherlands,returning,5651,922,16,703.86,1536.16
CAMP-00492,2026-05-08,social,Integrated zero-defect initiative Social SP,Spain,returning,32043,699,29,651.28,3141.19
CAMP-04654,2024-08-11,social,Expanded regional success Social SP,Spain,new,8669,222,4,1085.26,588.13
CAMP-00034,2024-11-17,display,Front-line tertiary instruction set Display GE,Germany,returning,65355,93,2,556.54,264.51
CAMP-03023,2025-04-12,email,Universal bandwidth-monitored budgetary management Email GE,Germany,vip,9363,1007,13,,1381.2
CAMP-03621,2025-04-03,email,Streamlined holistic hub Email GE,Germany,vip,21114,2260,87,1025.66,9954.08
CAMP-00486,2025-10-22,email,Self-enabling fresh-thinking moderator Email GE,Germany,returning,12807,2619,98,601.33,13445.5
